0.01,94.4,0.81
0.02,94.4,0.95
0.03,94.4,1.08
0.04,94.4,1.08
0.05,94.5,1.08
0.06,94.5,1.08
0.07,94.5,1.08
0.08,94.5,0.95
0.09,94.5,0.95
0.1,94.5,0.95
0.11,94.5,0.95
0.12,94.5,0.95
0.13,94.5,1.08
0.14,94.5,1.08
0.15,94.5,1.08
0.16,94.5,1.22
0.17,94.5,1.22
0.18,94.5,1.22
0.19,94.5,1.22
0.2,94.5,1.22
0.21,94.5,1.22
0.22,94.5,1.22
0.23,94.5,1.22
0.24,94.5,1.36
0.25,94.5,1.36
0.26,94.5,1.36
0.27,94.5,1.22
0.28,94.5,1.22
0.29,94.5,1.08
0.3,94.5,1.22
0.31,94.5,1.22
0.32,94.5,1.22
0.33,94.6,1.76
0.34,94.6,1.76
0.35,94.6,1.76
0.36,94.6,1.76
0.37,94.6,1.63
0.38,94.6,1.49
0.39,94.6,1.49
0.4,94.6,1.36
0.41,94.6,1.36
0.42,94.6,1.22
0.43,94.6,1.22
0.44,94.6,1.22
0.45,94.6,1.22
0.46,94.6,1.08
0.47,94.6,1.08
0.48,94.6,0.95
0.49,94.6,0.81
0.5,94.6,0.81
0.51,94.6,0.68
0.52,94.6,0.68
0.53,94.6,0.68
0.54,94.6,0.68
0.55,94.6,0.54
0.56,94.6,0.54
0.57,94.6,0.54
0.58,94.6,0.54
0.59,94.6,0.54
0.6,94.6,0.54
0.61,94.6,0.54
0.62,94.6,0.54
0.63,94.6,0.54
0.64,94.6,0.54
0.65,94.6,0.54
0.66,94.6,0.54
0.67,94.6,0.54
0.68,94.6,0.54
0.69,94.6,0.54
0.7,94.6,0.54
0.71,94.6,0.54
0.72,94.6,0.54
0.73,94.6,0.54
0.74,94.6,0.54
0.75,94.6,0.54
0.76,94.6,0.54
0.77,94.6,0.54
0.78,94.6,0.54
0.79,94.6,0.54
0.8,94.6,0.54
0.81,94.6,0.54
0.82,94.6,0.54
0.83,94.6,0.54
0.84,94.6,0.54
0.85,94.6,0.54
0.86,94.6,0.54
0.87,94.6,0.54
0.88,94.6,0.54
0.89,94.6,0.54
0.9,94.6,0.54
0.91,94.6,0.54
0.92,94.6,0.68
0.93,94.6,0.68
0.94,94.6,0.68
0.95,94.6,0.68
0.96,94.6,0.68
0.97,94.6,0.68
0.98,94.6,0.68
0.99,94.6,0.68
1,94.6,0.68
1.01,94.6,0.54
1.02,94.6,0.68
1.03,94.6,0.68
1.04,94.6,0.68
1.05,94.6,0.68
1.06,94.6,0.68
1.07,94.6,0.68
1.08,94.6,0.68
1.09,94.6,0.68
1.1,94.6,0.68
1.11,94.6,0.68
1.12,94.6,0.68
1.13,94.6,0.68
1.14,94.6,0.68
1.15,94.6,0.68
1.16,94.6,0.68
1.17,94.6,0.68
1.18,94.6,0.68
1.19,94.6,0.68
1.2,94.6,0.68
1.21,94.6,0.68
1.22,94.6,0.68
1.23,94.6,0.68
1.24,94.6,0.54
1.25,94.6,0.54
1.26,94.6,0.54
1.27,94.6,0.54
1.28,94.6,0.54
1.29,94.6,0.54
1.3,94.6,0.54
1.31,94.6,0.54
1.32,94.6,0.54
1.33,94.6,0.54
1.34,94.6,0.54
1.35,94.6,0.68
1.36,94.6,0.68
1.37,94.6,0.68
1.38,94.6,0.68
1.39,94.6,0.68
1.4,94.6,0.68
1.41,94.6,0.68
1.42,94.6,0.68
1.43,94.6,0.68
1.44,94.6,0.68
1.45,94.6,0.68
1.46,94.6,0.68
1.47,94.6,0.68
1.48,94.6,0.68
1.49,94.6,0.68
1.5,94.6,0.68
1.51,94.6,0.68
1.52,94.6,0.68
1.53,94.6,0.68
1.54,94.6,0.68
1.55,94.6,0.68
1.56,94.6,0.68
1.57,94.6,0.68
1.58,94.6,0.68
1.59,94.6,0.68
1.6,94.6,0.68
1.61,94.6,0.68
1.62,94.6,0.68
1.63,94.6,0.68
1.64,94.6,0.81
1.65,94.6,0.81
1.66,94.6,0.81
1.67,94.6,0.81
1.68,94.6,0.81
1.69,94.6,0.81
1.7,94.6,0.81
1.71,94.6,0.81
1.72,94.6,0.81
1.73,94.6,0.81
1.74,94.6,0.81
1.75,94.6,0.81
1.76,94.6,0.81
1.77,94.6,0.95
1.78,94.6,0.95
1.79,94.6,0.95
1.8,94.6,0.95
1.81,94.6,0.81
1.82,94.6,0.81
1.83,94.6,0.81
1.84,94.6,0.81
1.85,94.6,0.81
1.86,94.6,0.95
1.87,94.6,0.95
1.88,94.6,0.95
1.89,94.6,0.95
1.9,94.6,0.95
1.91,94.6,0.95
1.92,94.6,0.95
1.93,94.6,0.95
1.94,94.6,0.95
1.95,94.6,0.95
1.96,94.6,0.81
1.97,94.6,0.81
1.98,94.6,0.81
1.99,94.6,0.81
2,94.6,0.81
2.01,94.6,0.81
2.02,94.6,0.81
2.03,94.6,0.81
2.04,94.6,0.81
2.05,94.6,0.81
2.06,94.6,0.68
2.07,94.6,0.68
2.08,94.6,0.68
2.09,94.6,0.68
2.1,94.6,0.68
2.11,94.6,0.68
2.12,94.6,0.68
2.13,94.6,0.54
2.14,94.6,0.54
2.15,94.6,0.54
2.16,94.6,0.54
2.17,94.6,0.54
2.18,94.6,0.54
2.19,94.6,0.54
2.2,94.6,0.68
2.21,94.6,0.68
2.22,94.6,0.68
2.23,94.6,0.68
2.24,94.6,0.68
2.25,94.6,0.68
2.26,94.6,0.68
2.27,94.6,0.81
2.28,94.6,0.81
2.29,94.6,0.81
2.3,94.6,0.81
2.31,94.6,0.81
2.32,94.6,0.81
2.33,94.6,0.81
